Produktfamilie,Produkttyp,Gewicht,A1-A3,A4,A5,C1,C2,C3,C4,D,A1-A3,A4,A5,C1,C2/1,C3/1,C4/1,D/1
Einhangedecken,LMD-E 213 WL,7.95,21.16,0.07,0.68,0,0.07,0.29,0.02,-12.49,21.16,0.07,0.68,0,0.34,0.29,0,-18.34
Einhangedecken,LMD-E 213 WL,8.91,23.71,0.08,0.77,0,0.08,0.29,0.02,-14,23.71,0.08,0.77,0,0.38,0.29,0,-20.55
Einhangedecken,LMD-E 214/1,8.38,22.3,0.08,0.72,0,0.07,0.29,0.02,-13.17,22.3,0.08,0.72,0,0.36,0.29,0,-19.33
Einhangedecken,LMD-E 214/1,9.2,24.48,0.08,0.79,0,0.08,0.29,0.02,-14.46,24.48,0.08,0.79,0,0.39,0.29,0,-21.22
Einhangedecken,LMD-E 214/1,7.24,19.27,0.07,0.62,0,0.06,0.29,0.02,-11.38,19.27,0.07,0.62,0,0.31,0.29,0,-16.7
Einhangedecken,LMD-E 214/1,8.05,21.42,0.07,0.69,0,0.07,0.29,0.02,-12.65,21.42,0.07,0.69,0,0.34,0.29,0,-18.57
Einhangedecken,LMD-E 300/1,5.19,13.81,0.05,0.45,0,0.04,0.29,0.01,-8.16,13.81,0.05,0.45,0,0.22,0.29,0,-11.97
Einhangedecken,LMD-E 300/1,5.76,15.33,0.05,0.5,0,0.05,0.29,0.01,-9.05,15.33,0.05,0.5,0,0.25,0.29,0,-13.28
Einhangedecken,LMD-E 300/1,5.01,13.33,0.05,0.43,0,0.04,0.29,0.01,-7.87,13.33,0.05,0.43,0,0.21,0.29,0,-11.55
Einhangedecken,LMD-E 300/1,5.58,14.85,0.05,0.48,0,0.05,0.29,0.01,-8.77,14.85,0.05,0.48,0,0.24,0.29,0,-12.87
Einhangedecken,LMD-E 312,9.96,26.5,0.09,0.86,0,0.08,0.29,0.02,-15.65,26.5,0.09,0.86,0,0.42,0.29,0,-22.97
Einhangedecken,LMD-E 312,10.75,28.6,0.1,0.92,0,0.09,0.29,0.02,-16.89,28.6,0.1,0.92,0,0.46,0.29,0,-24.79
Einhangedecken,LMD-E 312,7.73,20.57,0.07,0.66,0,0.07,0.29,0.02,-12.15,20.57,0.07,0.66,0,0.33,0.29,0,-17.83
Einhangedecken,LMD-E 312,8.52,22.67,0.08,0.73,0,0.07,0.29,0.02,-13.39,22.67,0.08,0.73,0,0.36,0.29,0,-19.65
Einhangedecken,LMD-E 321/1,12.42,33.05,0.11,1.07,0,0.11,0.29,0.03,-19.52,33.05,0.11,1.07,0,0.53,0.29,0,-28.64
Einhangedecken,LMD-E 321/1,13.26,35.28,0.12,1.14,0,0.11,0.29,0.03,-20.84,35.28,0.12,1.14,0,0.56,0.29,0,-30.58
Einhangedecken,LMD-E 321/1,8.99,23.92,0.08,0.77,0,0.08,0.29,0.02,-14.13,23.92,0.08,0.77,0,0.38,0.29,0,-20.73
Einhangedecken,LMD-E 321/1,9.83,26.16,0.09,0.85,0,0.08,0.29,0.02,-15.45,26.16,0.09,0.85,0,0.42,0.29,0,-22.67
Einhangedecken,LMD-E 340/1,9.37,24.93,0.08,0.81,0,0.08,0.29,0.02,-14.72,24.93,0.08,0.81,0,0.4,0.29,0,-21.61
Einhangedecken,LMD-E 340/1,10.21,27.17,0.09,0.88,0,0.09,0.29,0.02,-16.04,27.17,0.09,0.88,0,0.43,0.29,0,-23.55
Einhangedecken,LMD-E 340/1,7.46,19.85,0.07,0.64,0,0.06,0.29,0.02,-11.72,19.85,0.07,0.64,0,0.32,0.29,0,-17.2
Einhangedecken,LMD-E 340/1,8.3,22.09,0.08,0.71,0,0.07,0.29,0.02,-13.04,22.09,0.08,0.71,0,0.35,0.29,0,-19.14
Kassettendecken,LMD-K 400,5.01,13.33,0.05,0.43,0,0.04,0.29,0.01,-7.87,13.33,0.05,0.43,0,0.21,0.29,0,-11.55
Kassettendecken,LMD-K 403,5.03,13.39,0.05,0.43,0,0.04,0.29,0.01,-7.9,13.39,0.05,0.43,0,0.21,0.29,0,-11.6
Kassettendecken,LMD-K 420,5.38,14.32,0.05,0.46,0,0.05,0.29,0.01,-8.45,14.32,0.05,0.46,0,0.23,0.29,0,-12.41
Kassettendecken,LMD-K 420,5.29,14.08,0.05,0.45,0,0.05,0.29,0.01,-8.31,14.08,0.05,0.45,0,0.23,0.29,0,-12.2
Streckmetalldecken,LMD-St 213,13.424622,35.72,0.12,1.15,0,0.11,0.29,0.03,-21.1,35.72,0.12,1.15,0,0.57,0.29,0,-30.96
Streckmetalldecken,LMD-St 213,18.306944,48.7,0.17,1.57,0,0.16,0.29,0.04,-28.77,48.7,0.17,1.57,0,0.78,0.29,0,-42.22
Streckmetalldecken,LMD-St 213,10.239611,27.25,0.09,0.88,0,0.09,0.29,0.02,-16.09,27.25,0.09,0.88,0,0.44,0.29,0,-23.62
Streckmetalldecken,LMD-St 213,13.103072,34.86,0.12,1.13,0,0.11,0.29,0.03,-20.59,34.86,0.12,1.13,0,0.56,0.29,0,-30.22
Streckmetalldecken,LMD-St 213,11.559218,30.76,0.1,0.99,0,0.1,0.29,0.03,-18.17,30.76,0.1,0.99,0,0.49,0.29,0,-26.66
Streckmetalldecken,LMD-St 213,16.234736,43.19,0.15,1.4,0,0.14,0.29,0.04,-25.51,43.19,0.15,1.4,0,0.69,0.29,0,-37.44
Streckmetalldecken,LMD-St 213,9.393309,24.99,0.09,0.81,0,0.08,0.29,0.02,-14.76,24.99,0.09,0.81,0,0.4,0.29,0,-21.66
Streckmetalldecken,LMD-St 213,12.074768,32.13,0.11,1.04,0,0.1,0.29,0.03,-18.98,32.13,0.11,1.04,0,0.51,0.29,0,-27.85
Streckmetalldecken,LMD-St 213,13.230344,35.2,0.12,1.14,0,0.11,0.29,0.03,-20.79,35.2,0.12,1.14,0,0.56,0.29,0,-30.51
Streckmetalldecken,LMD-St 213,18.111088,48.18,0.16,1.56,0,0.15,0.29,0.04,-28.46,48.18,0.16,1.56,0,0.77,0.29,0,-41.77
Streckmetalldecken,LMD-St 213,11.009772,29.29,0.1,0.95,0,0.09,0.29,0.03,-17.3,29.29,0.1,0.95,0,0.47,0.29,0,-25.39
Streckmetalldecken,LMD-St 213,13.889744,36.95,0.13,1.19,0,0.12,0.29,0.03,-21.83,36.95,0.13,1.19,0,0.59,0.29,0,-32.03
Streckmetalldecken,LMD-St 213 BWS,12.910344,34.35,0.12,1.11,0,0.11,0.29,0.03,-20.29,34.35,0.12,1.11,0,0.55,0.29,0,-29.78
Streckmetalldecken,LMD-St 213 BWS,17.791088,47.33,0.16,1.53,0,0.15,0.29,0.04,-27.96,47.33,0.16,1.53,0,0.76,0.29,0,-41.03
Streckmetalldecken,LMD-St 213 BWS,10.689772,28.44,0.1,0.92,0,0.09,0.29,0.02,-16.8,28.44,0.1,0.92,0,0.45,0.29,0,-24.65
Streckmetalldecken,LMD-St 213 BWS,13.569744,36.1,0.12,1.17,0,0.12,0.29,0.03,-21.32,36.1,0.12,1.17,0,0.58,0.29,0,-31.3
Streckmetalldecken,LMD-St 214,13.644622,36.3,0.12,1.17,0,0.12,0.29,0.03,-21.44,36.3,0.12,1.17,0,0.58,0.29,0,-31.47
Streckmetalldecken,LMD-St 214,18.496944,49.21,0.17,1.59,0,0.16,0.29,0.04,-29.07,49.21,0.17,1.59,0,0.79,0.29,0,-42.66
Streckmetalldecken,LMD-St 214,10.479611,27.88,0.09,0.9,0,0.09,0.29,0.02,-16.47,27.88,0.09,0.9,0,0.45,0.29,0,-24.17
Streckmetalldecken,LMD-St 214,13.323072,35.45,0.12,1.15,0,0.11,0.29,0.03,-20.94,35.45,0.12,1.15,0,0.57,0.29,0,-30.73
Streckmetalldecken,LMD-St 214,11.559218,30.76,0.1,0.99,0,0.1,0.29,0.03,-18.17,30.76,0.1,0.99,0,0.49,0.29,0,-26.66
Streckmetalldecken,LMD-St 214,16.234736,43.19,0.15,1.4,0,0.14,0.29,0.04,-25.51,43.19,0.15,1.4,0,0.69,0.29,0,-37.44
Streckmetalldecken,LMD-St 214,9.393309,24.99,0.09,0.81,0,0.08,0.29,0.02,-14.76,24.99,0.09,0.81,0,0.4,0.29,0,-21.66
Streckmetalldecken,LMD-St 214,12.074768,32.13,0.11,1.04,0,0.1,0.29,0.03,-18.98,32.13,0.11,1.04,0,0.51,0.29,0,-27.85
Streckmetalldecken,LMD-St 214,13.230344,35.2,0.12,1.14,0,0.11,0.29,0.03,-20.79,35.2,0.12,1.14,0,0.56,0.29,0,-30.51
